"","age","gender","degree","studying_in_your_home_country","current_living_location","reasons_to_study_outside_your_country_of_upbringing","job_alongside_studies","main_reason_job","reasons_for_having_a_job","level_of_satisfaction_with_decision_to_pursue_a_PhD","level_of_satisfaction_since_starting_grad_school","how_does_your_program_compare_to_your_expectations","supervisor_relationship","one_on_one_contact_w_supervisor","work_life_balance","PhD_weekly_hours","university_supports_work_life_balance","university_has_long_hours_culture","have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD","did_you_seek_help_within_your_institution","mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs","supervisor_awareness_of_mental_health_services","university_offers_adequate_one_to_one_mental_health_support","university_offers_a_variety_of_support_resources","experienced_bullying_in_PhD","who_was_the_perpetrator","able_to_speak_out_about_bullying_experiences","experienced_discrimination_or_harrasment","which_have_you_experienced"
"6129","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"1st","5","Improved slightly","Exceeds original expectations","7","Less than an hour","7","41-50 hours","4","4","No",NA,"3","3","3","5","No",NA,NA,"No",NA
"6130","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,NA,"5","Improved greatly","Meets original expectations","4","More than three hours","5","51-60 hours","4","2","No",NA,"3","3","5","5","Yes","Other academic staff member","No","No",NA
"6131","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Lack of funding opportunities in my home country","No",NA,"2nd","2","Significantly worsened","Does not meet original expectations","2","Other, please specify","3","31-40 hours","1","4","Prefer not to say",NA,"1","1","1","1","No",NA,NA,"No",NA
"6132","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"7th","5","Improved slightly","Meets original expectations","7","More than three hours","3","51-60 hours","3","3","Yes","Yes, it was helpful","2","3","2","2","No",NA,NA,"No",NA
"6133","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"2nd","5","Improved slightly","Exceeds original expectations","7","Between one and three hours","5","31-40 hours","5","2","Yes","No, I sought help elsewhere","4","3","5","5","No",NA,NA,"No",NA
"6134","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"Yes","To develop additional skills","4th","4","Worsened a little","Meets original expectations","4","Less than an hour","2","61-70 hours","1","2","Yes","Yes, but I didn’t feel supported","1","3","1","3","Yes","Supervisor","No","Yes","Sexual harassment"
"6135","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"4th","4","Significantly worsened","Does not meet original expectations","4","Between one and three hours","4","51-60 hours","3","2","Yes","No, I sought help elsewhere","2","2","2","2","Yes","Supervisor","No","No",NA
"6136","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"3rd","1","Significantly worsened","Does not meet original expectations","5","Less than an hour","1","51-60 hours","1","5","Yes","Yes, it was helpful","1","5","2","1","Yes","Other academic staff member","No","Yes",NA
"6137","25 - 34","Male (including trans male)","Dual doctorate degree (MD-PhD, PhD-PhD or other combination)","Yes","North or Central America",NA,"Yes","To help make ends meet","4th","4","Worsened a little","Meets original expectations","7","Between one and three hours","1","61-70 hours","1","5","No",NA,"5","5","5","5","No",NA,NA,"No",NA
"6138","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"1st","5","Stayed the same","Exceeds original expectations","7","Between one and three hours","5","41-50 hours","3","2","No",NA,"2","1","2","3","No",NA,NA,"No",NA
"6139","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","Africa",NA,"No",NA,"1st","5","Improved slightly","Exceeds original expectations","7","Between one and three hours","6","61-70 hours","4","2","No",NA,"3","3","3","5","No",NA,NA,"No",NA
"6140","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"12th","2","Significantly worsened","Does not meet original expectations","6","Less than an hour","5","31-40 hours","2","5","Yes","Yes, it was helpful","3","2","5","5","No",NA,NA,"No",NA
"6141","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"2nd","5","Stayed the same","Exceeds original expectations","6","More than three hours","5","51-60 hours","4","2","No",NA,"2","2","3","3","No",NA,NA,"No",NA
"6142","35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","Africa",NA,"Yes","To help make ends meet","2nd","4","Worsened a little","Meets original expectations","5","Less than an hour","3","21-30 hours","2","5","Yes","No, I sought help elsewhere","3","3","2","2","Yes","Supervisor","No","Yes","Age discrimination"
"6143","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","Lack of funding opportunities in my home country","No",NA,"1st","4","Improved slightly","Meets original expectations","6","Between one and three hours","6","61-70 hours","2","5","No",NA,"2","3","2","2","No",NA,NA,"No",NA
"6144","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"7th","5","Worsened a little","Meets original expectations","3","Less than an hour","5","41-50 hours","4","3","Yes","Yes, it was helpful","5","2","5","5","No",NA,NA,"Yes","Sexual harassment"
"6145","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","To study at a specific university","No",NA,"3rd","4","Worsened a little","Meets original expectations","2","Between one and three hours","3","61-70 hours","4","4","No",NA,"4","4","4","4","No",NA,NA,"No",NA
"6146","18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"5th","5","Stayed the same","Exceeds original expectations","6","Between one and three hours","4","61-70 hours","4","2","Yes","Yes, it was helpful","4","3","3","4","Yes","Another student","Yes","No",NA
"6147","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"2nd","4","Improved slightly","Does not meet original expectations","7","Less than an hour","4","41-50 hours","3","3","Yes","Yes, it was helpful","3","1","3","5","No",NA,NA,"Yes","Gender discrimination"
"6148","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","Asia (including Middle East)",NA,"No",NA,"4th","2","Worsened a little","Does not meet original expectations","5","Between one and three hours","2","11-20 hours","3","2","No",NA,"3","3","3","3","No",NA,NA,"No",NA
"6149","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Chance to pursue a specific research question","No",NA,"1st","4","Worsened a little","Does not meet original expectations","4","Between one and three hours","3","51-60 hours","1","5","No",NA,"2","2","3","1","No",NA,NA,"No",NA
"6150","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,NA,"5","Improved slightly","Exceeds original expectations","6","Less than an hour","6","51-60 hours","5","2","No",NA,"3","3","3","3","No",NA,NA,"No",NA
"6151","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"5th","5","Improved slightly","Meets original expectations","7","Between one and three hours","6","41-50 hours","5","1","No",NA,"5","5","5","5","No",NA,NA,"No",NA
"6152","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","Asia (including Middle East)",NA,"No",NA,"1st","2","Worsened a little","Does not meet original expectations","3","Less than an hour","2","51-60 hours","2","5","Yes","Yes, but I didn’t feel supported","2","1","4","2","No",NA,NA,"No",NA
"6153","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,NA,"5","Stayed the same","Meets original expectations","6","Between one and three hours","5","41-50 hours","4","1","No",NA,"3","4","3","4","No",NA,NA,"No",NA
"6154","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Chance to pursue a specific research question","No",NA,"3rd","1","Significantly worsened","Does not meet original expectations","1","Between one and three hours","3","31-40 hours","4","2","No",NA,"1","3","1","1","Yes","Supervisor","Yes","Yes","Racial discrimination or harassment"
"6155","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","Europe",NA,"No",NA,"3rd","5","Stayed the same","Meets original expectations","5","Less than an hour","6","41-50 hours","4","2","No",NA,"4","3","4","4","No",NA,NA,"No",NA
"6156","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No","Europe","To experience another culture","No",NA,"3rd","5","Stayed the same","Meets original expectations","6","Between one and three hours","4","51-60 hours","3","3","No",NA,"3","3","3","3","Yes","Postdoc","No","No",NA
"6157","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"Yes","To help make ends meet","11th","4","Significantly worsened","Does not meet original expectations","2","Between one and three hours","1","21-30 hours","2","5","No",NA,"4","1","4","1","No",NA,NA,"No",NA
"6158","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"6th","4","Worsened a little","Meets original expectations","7","Between one and three hours","2","More than 80 hours","2","4","No",NA,"3","3","2","4","No",NA,NA,"No",NA
"6159","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"3rd","4","Worsened a little","Does not meet original expectations","1","Between one and three hours","3","51-60 hours","1","4","Yes","Yes, but I didn’t feel supported","1","3","3","4","Yes","Supervisor","No","Yes","Age discrimination"
"6160","35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"3rd","5","Improved greatly","Meets original expectations","7","Between one and three hours","4","41-50 hours","3","3","No",NA,"2","2","2","1","No",NA,NA,"No",NA
"6161","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"10th","4","Stayed the same","Meets original expectations","6","Between one and three hours","6","51-60 hours","4","2","No",NA,"3","3","3","4","No",NA,NA,"No",NA
"6162","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"2nd","4","Worsened a little","Meets original expectations","7","Between one and three hours","3","51-60 hours","5","1","No",NA,"3","3","3","3","No",NA,NA,"No",NA
"6163","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"9th","4","Improved slightly","Meets original expectations","5","Other, please specify","5","41-50 hours","4","2","Yes","Yes, it was helpful","4","3","5","5","Yes","Another student","Unsure","No",NA
"6164","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","Europe",NA,"No",NA,"1st","5","Worsened a little","Meets original expectations","7","Between one and three hours","7","41-50 hours","3","2","No",NA,"3","2","1","2","No",NA,NA,"No",NA
"6165","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"Yes","To help make ends meet",NA,"4","Worsened a little","Does not meet original expectations","5","Between one and three hours","3","41-50 hours","3","4","No",NA,"4","2","3","4","No",NA,NA,"No",NA
"6166","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"2nd","5","Improved greatly","Exceeds original expectations","7","Between one and three hours","6","51-60 hours","5","2","No",NA,"5","4","5","5","No",NA,NA,"No",NA
"6167","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Lack of PhD programmes in my subject of choice","No",NA,"3rd","5","Improved greatly","Exceeds original expectations","7","More than three hours","4","61-70 hours","3","3","No",NA,"4","5","5","5","No",NA,NA,"No",NA
"6168","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"Yes","To develop additional skills","5th","4","Worsened a little","Meets original expectations","5","Less than an hour","6","31-40 hours","5","2","Yes","Yes, it was helpful","2","4","4","5","Yes","Other academic staff member","Unsure","No",NA
"6169","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Lack of quality PhD programmes in my home country","No",NA,NA,"1","Improved greatly","Meets original expectations","6","More than three hours","5","51-60 hours",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,"No",NA
"6170","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"6th","3","Significantly worsened","Does not meet original expectations","5","Between one and three hours","1","51-60 hours","3","5","Yes","Yes, but I didn’t feel supported","2","2","2","2","No",NA,NA,"No",NA
"6171","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Lack of funding opportunities in my home country","No",NA,"3rd","4","Worsened a little","Does not meet original expectations","2","Less than an hour","5","51-60 hours","4","3","Yes","Yes, it was helpful","1","1","1","1","No",NA,NA,"Yes","Sexual harassment"
"6172","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Family reasons","No",NA,"6th","3","Significantly worsened","Does not meet original expectations","3","Between one and three hours","3","71-80 hours","3","5","No",NA,"2","1","3","3","No",NA,NA,"No",NA
"6173","25 - 34","Gender queer / Non binary","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"3rd","2","Worsened a little","Meets original expectations","4","Less than an hour","5","21-30 hours","4","4","Yes","Yes, it was helpful","4","4","4","4","No",NA,NA,"No",NA
"6174","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"6th","2","Worsened a little","Meets original expectations","7","Less than an hour","5","31-40 hours","4","1","Yes","Yes, but I didn’t feel supported","4","3","3","5","No",NA,NA,"Yes","Gender discrimination"
"6175","35 - 44","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"Yes","To develop additional skills","1st","5","Improved greatly","Meets original expectations","7","Less than an hour","7","31-40 hours","5","5","No",NA,"5","5","5","5","No",NA,NA,"No",NA
"6176","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"6th","5","Worsened a little","Meets original expectations","4","Between one and three hours","1","More than 80 hours","1","5","No",NA,"3","2","2","3","No",NA,NA,"No",NA
"6177","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"4th","5","Improved slightly","Exceeds original expectations","6","Less than an hour","6","51-60 hours","5","2","Yes","Yes, it was helpful","5","3","5","5","No",NA,NA,"No",NA
"6178","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"3rd","3","Worsened a little","Does not meet original expectations","1","Less than an hour","5","31-40 hours","5","2","Yes","Yes, it was helpful","5","1","5","5","No",NA,NA,"No",NA
"6179","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"2nd","5","Worsened a little","Meets original expectations","2","Less than an hour","4","51-60 hours","2","4","No",NA,"3","2","3","3","No",NA,NA,"Yes","Gender discrimination"
"6180","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","Europe",NA,"Yes","To help make ends meet",NA,"4","Improved slightly","Meets original expectations","7","Less than an hour","3","21-30 hours","3","4","No",NA,"3","4","2","4","No",NA,NA,"No",NA
"6181","35 - 44","Male (including trans male)","Dual doctorate degree (MD-PhD, PhD-PhD or other combination)","Yes","North or Central America",NA,"Yes","To help make ends meet","8th","2","Worsened a little","Meets original expectations","6","Between one and three hours","7","41-50 hours","4","4","No",NA,"5","5","5","4","Yes","Supervisor","Yes","No",NA
"6182","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","3","Significantly worsened","Does not meet original expectations","4","Less than an hour","1","61-70 hours","1","4","No",NA,"1","1","1","1","Yes","Another student","Yes","No",NA
"6183","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","South America",NA,"No",NA,"2nd","4","Improved slightly","Exceeds original expectations","7","Between one and three hours","7","41-50 hours","1","1","Yes","No, I sought help elsewhere","1","1","1","1","Yes","Other academic staff member","No","Yes","Age discrimination"
"6184","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","South America",NA,"Yes","To help make ends meet","4th","5","Improved slightly","Meets original expectations","5","Less than an hour","4","61-70 hours","Prefer not to say","Prefer not to say","Yes","No, I sought help elsewhere","2","2","2","2","No",NA,NA,"Yes","Sexual harassment"
"6185","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"4th","5","Stayed the same","Meets original expectations","6","Between one and three hours","2","61-70 hours","3","4","No",NA,"2","4","2","3","No",NA,NA,"No",NA
"6186","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"2nd","4","Improved greatly","Exceeds original expectations","6","Between one and three hours","5","61-70 hours","4","2","No",NA,"2","3","Prefer not to say","5","No",NA,NA,"No",NA
"6187","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","Europe",NA,"No",NA,"1st","5","Stayed the same","Exceeds original expectations","7","Other, please specify","7","21-30 hours","4","1","No",NA,"3","2","1","5","No",NA,NA,"No",NA
"6188","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"4th","5","Stayed the same","Meets original expectations","7","Between one and three hours","4","41-50 hours","4","3","Yes","No, I sought help elsewhere","3","4","4","3","No",NA,NA,"No",NA
"6189","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"7th","4","Worsened a little","Meets original expectations","7","Between one and three hours","2","51-60 hours","3","4","Yes","Yes, it was helpful","5","3","5","5","No",NA,NA,"No",NA
"6190","35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","5","Improved slightly","Meets original expectations","7","Between one and three hours","3","11-20 hours","1","1","Yes","Yes, it was helpful","4","4","2","1","No",NA,NA,"No",NA
"6191","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"2nd","5","Improved greatly","Meets original expectations","5","Less than an hour","6","61-70 hours","4","4","Yes","Yes, it was helpful","2","5","4","3","No",NA,NA,"No",NA
"6192","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"Yes","To help make ends meet","8th","4","Significantly worsened","Does not meet original expectations","2","Less than an hour","5","11-20 hours","4","1","Yes","Yes, but I didn’t feel supported","2","1","4","4","Yes","Supervisor","Yes","No",NA
"6193","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","South America",NA,"No",NA,"2nd","4","Improved greatly","Does not meet original expectations","7","Other, please specify","4","51-60 hours","2","4","Yes","No, I sought help elsewhere","1","2","2","2","Yes","Other academic staff member","Yes","Yes",NA
"6194","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"6th","4","Significantly worsened","Meets original expectations","5","Less than an hour","4","51-60 hours",NA,"5","Yes","Other, please specify","3","4","3","4","No",NA,NA,"No",NA
"6195","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"2nd","4","Improved slightly","Meets original expectations","7","Between one and three hours","5","51-60 hours","5","1","Yes","No, I sought help elsewhere","4","4","4","3","No",NA,NA,"No",NA
"6196","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","Lack of PhD programmes in my subject of choice","No",NA,"2nd","5","Improved greatly","Meets original expectations","6","More than three hours","3","61-70 hours","2","4","Yes","Yes, it was helpful","5","5","5","5","No",NA,NA,"Yes","Racial discrimination or harassment"
"6197","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"9th","5","Worsened a little","Meets original expectations","7","Between one and three hours","5","41-50 hours","5","1","Yes","Yes, it was helpful","4","3","5","5","No",NA,NA,"No",NA
"6198","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","Asia (including Middle East)",NA,"No",NA,NA,"4","Improved slightly","Does not meet original expectations","N/A","More than three hours","1","41-50 hours","1","5","Yes","I wanted to, but there was none available","1","2","1","1","No",NA,NA,"Yes","Age discrimination"
"6199","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"8th","5","Improved greatly","Exceeds original expectations","6","Between one and three hours","5","51-60 hours","5","1","No",NA,"2","4","4","4","Yes","Supervisor","No","Yes","Gender discrimination"
"6200","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"1st","4","Worsened a little","Meets original expectations","7","Between one and three hours","4","51-60 hours","1","5","No",NA,"4","4","4","4","No",NA,NA,"No",NA
"6201","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"5th","1","Significantly worsened","Does not meet original expectations","5","Between one and three hours","2","61-70 hours","1","4","Yes","Other, please specify","1","4","2","4","Yes","Supervisor","Unsure","Yes",NA
"6202","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","South America",NA,"No",NA,"1st","3","Significantly worsened","Meets original expectations","1","Less than an hour","5","41-50 hours","1","4","No",NA,"1","1","1","1","Yes","Supervisor","No","Yes","Religious discrimination"
"6203","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","South America",NA,"No",NA,"3rd","5","Improved slightly","Meets original expectations","4","Less than an hour","4","More than 80 hours","3","5","Yes","No, I sought help elsewhere","1","3","4","2","No",NA,NA,"No",NA
"6204","45 - 54","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","South America",NA,"Yes","Other, please specify","1st","4","Improved slightly","Meets original expectations","5","Between one and three hours","6","41-50 hours","1","3","No",NA,"1","2","1","2","No",NA,NA,"No",NA
"6205","35 - 44","Prefer not to say","Doctorate degree (PhD/DPhil/MD)","Yes","Asia (including Middle East)",NA,"Yes","To help make ends meet","1st","1","Worsened a little","Meets original expectations","3","Less than an hour","3","21-30 hours","5","4","No",NA,"5","5","5","5","Prefer not to say",NA,NA,"Prefer not to say",NA
"6206","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"1st","4","Worsened a little","Meets original expectations","7","Between one and three hours","3","41-50 hours","3","3","Yes","No, I sought help elsewhere","5","4","4","4","No",NA,NA,"No",NA
"6207","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"4th","5","Significantly worsened","Meets original expectations","3","Less than an hour","1","51-60 hours","3","4","Yes","Other, please specify","1","1","1","3","Yes","Another student","No","No",NA
"6208","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"6th","4","Worsened a little","Meets original expectations","5","Between one and three hours","3","71-80 hours","3","4","No",NA,"2","Prefer not to say","4","2","No",NA,NA,"Prefer not to say",NA
"6209","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"1st","5","Improved slightly","Exceeds original expectations","7","Between one and three hours","7","41-50 hours","5","2","No",NA,"2","5","3","5","No",NA,NA,"No",NA
"6210","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"6th","5","Improved slightly","Does not meet original expectations","6","More than three hours","4","41-50 hours","2","4","No",NA,"1","2","1","2","No",NA,NA,"Yes","Gender discrimination"
"6211","45 - 54","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"1st","5","Stayed the same","Meets original expectations","7","Between one and three hours","5","21-30 hours","Prefer not to say","Prefer not to say","No",NA,"1","3","2","Prefer not to say","No",NA,NA,"No",NA
"6212","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"1st","3","Significantly worsened","Meets original expectations","1","More than three hours","1","61-70 hours","1","5","Yes","No, I sought help elsewhere","1","1","1","1","Yes","Postdoc","Unsure","No",NA
"6213","18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","To study at a specific university","No",NA,"8th","5","Stayed the same","Meets original expectations","6","Between one and three hours","3","41-50 hours","4","4","Yes","Yes, it was helpful","2","3","4","4","Prefer not to say",NA,NA,"Prefer not to say",NA
"6214","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","Europe",NA,"No",NA,"5th","1","Significantly worsened","Does not meet original expectations","1","Other, please specify","1","61-70 hours","3","5","Yes","I wanted to, but there was none available","2","2","1","1","No",NA,NA,"No",NA
"6215","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","Africa",NA,"No",NA,"2nd","5","Improved greatly","Exceeds original expectations","5","Less than an hour","4","51-60 hours","1","1","No",NA,"1","2","1","2","Yes","Supervisor","Yes","Yes","Racial discrimination or harassment"
"6216","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","To experience another culture","No",NA,"5th","4","Worsened a little","Meets original expectations","5","Less than an hour","5","41-50 hours","5","1","Yes","Yes, it was helpful","3","3","5","5","No",NA,NA,"No",NA
"6217","45 - 54","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","Africa",NA,"Yes","To help make ends meet","2nd","5","Improved slightly","Meets original expectations","3","Less than an hour","3","31-40 hours","4","5","No",NA,"4","3","3","3","No",NA,NA,"No",NA
"6218","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"6th","5","Improved slightly","Exceeds original expectations","7","Less than an hour","4","41-50 hours","4","1","Yes","Yes, it was helpful","4","3","5","5","No",NA,NA,"No",NA
"6219","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"1st","4","Worsened a little","Does not meet original expectations","6","Less than an hour","6","41-50 hours","4","4","Yes","No, I sought help elsewhere","2","4","2","3","Yes","Another student","Yes","Yes","Racial discrimination or harassment"
"6220","25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Yes","Europe",NA,"Yes","Other, please specify","1st","1","Improved slightly","Does not meet original expectations","3","Less than an hour","1","51-60 hours","1","4","Yes","No, I sought help elsewhere","1","1","1","1","No",NA,NA,"No",NA
"6221","35 - 44","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No","Africa","Lack of funding opportunities in my home country","No",NA,NA,"5","Improved greatly","Meets original expectations","7","More than three hours","5","41-50 hours","4","4","No",NA,"5","5","4","4","Prefer not to say",NA,NA,"No",NA
"6222","25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Yes","North or Central America",NA,"No",NA,"1st","5","Improved slightly","Exceeds original expectations","7","More than three hours","5","51-60 hours","4","1","Yes","Yes, it was helpful","5","2","5","5","No",NA,NA,"No",NA
